CO2e,building,greengov,fleet
California African American Museum,California African American Museum,California African American Museum,"African American Museum, California"
California Coastal Commission,,,"Coastal Commission, California"
California Conservation Corps,California Conservation Corps,California Conservation Corps,"Conservation Corps, California"
California Department of Child Support Services,,,
California Department of Conservation,Department of Conservation,Department of Conservation,"Conservation, Department of"
California Department of Consumer Affairs,Department of Consumer Affairs,Department of Consumer Affairs,"Consumer Affairs, Department of"
California Department of Corrections and Rehabilitation,California Department of Corrections & Rehabilitation,Department of Corrections & Rehabilitation,"Corrections and Rehabilitation, Department of"
California Department of Developmental Services,Department of Developmental Services,Department of Developmental Services,"Developmental Services, Department of"
California Department of Finance,,,"Finance, Department of"
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),California Department of Fish and Wildlife,California Department of Fish and Wildlife,"Fish and Wildlife, Department of"
California Department of Food and Agriculture,California Department of Food and Agriculture,California Department of Food and Agriculture,"Food and Agriculture, Department of"
California Department of Forestry and Fire Protection,California Department of Forestry and Fire Protection,Department of Forestry and Fire Protection,"Forestry and Fire Protection, Department of"
California Department of General Services,Department of General Services,Department of General Services,"General Services, Department of"
California Department of Health Care Services,,,"Health Care Services, Department of"
California Department of Housing and Community Development,Housing and Community Development,Housing and Community Development,"Developmental Services, Department of"
California Department of Managed Health Care,,,
California Department of Motor Vehicles,Department of Motor Vehicles,Department of Motor Vehicles,"Motor Vehicles, Department of"
California Department of Parks and Recreation,Department of Parks and Recreation,Department of Parks and Recreation,"Parks and Recreation, Department of"
California Department of Public Health (CDPH),California Department of Public Health,California Department of Public Health,"Public Health, Department of"
California Department of Rehabilitation,Department of Rehabilitation,Department of Rehabilitation,"Rehabilitation, Department of"
California Department of Social Services,,,"Social Services, Department of"
California Department of State Hospitals (DSH),Department of State Hospitals,Department of State Hospitals,"State Hospitals, Department of"
California Department of Technology (formerly California Technology Agency prior to 7/2013),California Department of Technology,California Department of Technology,"Technology, Department of"
California Department of Transportation (Caltrans),California Department of Transportation,Department of Transportation,"Transportation, Department of"
California Department of Veterans Affairs,California Department of Veterans Affairs,Department of Veterans Affairs,"Veterans Affairs, Department of"
California Department of Water Resources,Department of Water Resources,Department of Water Resources,"Water Resources, Department of"
California Employment Development Department,Employment Development Department,Employment Development Department,Employment Development Department
California Environmental Protection Agency,,,
California Exposition & State Fair,California Exposition & State Fair,California Exposition & State Fair,"Exposition and State Fair, California"
California Governor's Office of Emergency Services (formerly California Emergency Management Agency),California Office of Emergency Services,California Office of Emergency Services,Emergency Medical Services Authority
California Highway Patrol,California Highway Patrol,California Highway Patrol,"California Highway Patrol, Department of the"
California Military Department,California Military Department,California Military Department,Military Department
California Office of Systems Integration,,,
California Public Employees' Retirement System,California Public Employee's Retirement System,California Public Employees' Retirement System,Public Employees' Retirement System
California Science Center,California Science Center ,California Science Center,"Science Center, California"
California State Coastal Conservancy,,,
California State Lands Commission,State Lands Commission,State Lands Commission,State Lands Commission
California State Teachers Retirement System,California State Teacher's Retirement System,California State Teachers' Retirement System,State Teachers' Retirement System
San Joaquin River Conservancy,,,
Santa Monica Mountains Conservancy,Santa Monica Mountains Conservancy,Santa Monica Mountains Conservancy,
Sierra Nevada Conservancy,,,
